DateTimeStamp;AValue
22/03/2020 18:40:00;392.7395
22/03/2020 18:41:00;411.7473
22/03/2020 18:42:00;401.134
22/03/2020 18:45:00;411.6979
22/03/2020 18:46:00;397.4662
22/03/2020 18:54:00;414.1769
22/03/2020 18:56:00;425.4838
22/03/2020 18:58:00;406.4603
22/03/2020 18:59:00;422.2578
22/03/2020 19:13:00;433.1154
22/03/2020 19:15:00;420.3361
22/03/2020 19:54:00;432.7345
22/03/2020 20:04:00;413.5949
22/03/2020 20:07:00;424.4895
22/03/2020 20:13:00;446.0241
22/03/2020 20:14:00;422.1589
22/03/2020 20:15:00;411.594
22/03/2020 20:22:00;424.1103
22/03/2020 20:28:00;412.9452
22/03/2020 20:37:00;423.6313
22/03/2020 20:41:00;453.5041
22/03/2020 20:42:00;427.6668
22/03/2020 20:45:00;437.8839
22/03/2020 20:47:00;423.9166
22/03/2020 20:50:00;437.3883
22/03/2020 20:51:00;449.3193
22/03/2020 20:52:00;462.7919
22/03/2020 20:53:00;433.4072
22/03/2020 20:54:00;460.2412
22/03/2020 20:58:00;443.7471
22/03/2020 21:02:00;428.422
22/03/2020 21:08:00;458.5272
22/03/2020 21:09:00;421.8737
22/03/2020 21:13:00;444.5327
22/03/2020 21:17:00;386.1365
22/03/2020 21:20:00;404.312
22/03/2020 21:21:00;392.1732
22/03/2020 21:22:00;403.4042
22/03/2020 21:31:00;388.6072
22/03/2020 21:33:00;420.7467
22/03/2020 21:34:00;395.8299
22/03/2020 21:38:00;383.557
22/03/2020 21:45:00;394.5854
22/03/2020 21:47:00;445.7653
22/03/2020 21:48:00;427.5366
22/03/2020 21:49:00;446.743
22/03/2020 21:50:00;422.1853
22/03/2020 21:51:00;437.3579
22/03/2020 21:52:00;421.5653
22/03/2020 21:53:00;440.3496
22/03/2020 21:55:00;416.346
22/03/2020 21:58:00;431.488
22/03/2020 21:59:00;416.9148
22/03/2020 22:02:00;421.1515
22/03/2020 22:03:00;437.5162
22/03/2020 22:05:00;417.6518
22/03/2020 22:06:00;398.7298
22/03/2020 22:07:00;426.112
22/03/2020 22:13:00;410.7779
22/03/2020 22:15:00;423.5588
22/03/2020 22:19:00;411.3211
22/03/2020 22:28:00;425.0856
22/03/2020 22:31:00;439.9951
22/03/2020 22:32:00;400.9738
22/03/2020 22:33:00;423.4937
22/03/2020 22:34:00;396.5614
22/03/2020 22:35:00;428.5762
22/03/2020 22:36:00;408.6357
22/03/2020 22:38:00;429.2753
22/03/2020 22:40:00;412.7943
22/03/2020 22:42:00;443.8295
22/03/2020 22:43:00;417.1193
22/03/2020 22:44:00;433.2572
22/03/2020 22:46:00;401.9179
22/03/2020 22:48:00;427.6347
22/03/2020 22:49:00;412.4003
22/03/2020 22:50:00;393.9265
22/03/2020 22:51:00;408.6468
22/03/2020 22:54:00;395.6515
22/03/2020 22:58:00;409.1406
